gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison
Fam208b	417.19640947627425	-0.5596876253359473	0.10211766013042554	-5.480811297684548	4.233798635156773e-8	2.2041584466738744e-5	het_vs_wt
Fam46a	112.3033444089554	-0.6629234249221078	0.12295092757065489	-5.391772457683596	6.976607656650225e-8	3.484169542306357e-5	het_vs_wt
N4bp2	50.30110149065637	-0.7352207140972365	0.13675002240914524	-5.376384596834027	7.599637023930865e-8	3.6597680582387066e-5	het_vs_wt
Amer2	357.0339494958626	-0.697621327671903	0.13029243905010568	-5.3542733005682965	8.590094190260898e-8	3.8609610020492645e-5	het_vs_wt
Ubn2	795.6442635422075	-0.4981206637642115	0.09302844939766557	-5.354498188343567	8.579418039834232e-8	3.8609610020492645e-5	het_vs_wt
Lmbrd2	183.65114444962913	-0.7345266181179061	0.13779300530796523	-5.330652426632618	9.78605559492944e-8	4.2566185045815665e-5	het_vs_wt
Evi5	1190.6138154560758	-0.31190860944110715	0.05893409006183462	-5.29249894439445	1.2065616647772498e-7	5.084149214955136e-5	het_vs_wt
Ahctf1	902.59516427617325	-0.4480158093700398	0.08480044482563547	-5.2831775858161905	1.2696220986013513e-7	5.187752841678976e-5	het_vs_wt
Bdp1	438.0288203762292	-0.5816887984964485	0.11060553893971875	-5.259129009926667	1.447393218145039e-7	5.740191221608148e-5	het_vs_wt
Tnpo1	377.33501466990776	-0.6478067759212593	0.12449001694841637	-5.203684534718027	1.9537555619756553e-7	7.304680571690447e-5	het_vs_wt
Gpr17	707.3598127351232	-0.486808813044763	0.09363636243822156	-5.1989291378757345	2.004399148268663e-7	7.304680571690447e-5	het_vs_wt
Mirg	481.3483672327014	-0.4466719556348328	0.08591001968493668	-5.199299886939166	2.0004056054287734e-7	7.304680571690447e-5	het_vs_wt
Cbl	206.3689538813722	-0.7095809631257382	0.13743065401415636	-5.163192798694286	2.4277285925564893e-7	8.393715985136334e-5	het_vs_wt
Egfr	183.67249948613198	-0.5631016212873666	0.10895893124948584	-5.1680171127782035	2.3659065181787464e-7	8.393715985136334e-5	het_vs_wt
Helz	348.99897435543045	-0.5833757201477056	0.11321220112846328	-5.152940357424391	2.5643354132900804e-7	8.644374678200861e-5	het_vs_wt
Lonrf3	353.0402085550771	-0.5768699236455804	0.11245342864400372	-5.129856248952534	2.8996352323804416e-7	9.095895927281944e-5	het_vs_wt
Pcdh15	355.50209352899526	-0.5222812979136606	0.10167338720777669	-5.136853529295156	2.7937652924843335e-7	9.095895927281944e-5	het_vs_wt
Fam126b	965.8501152294382	-0.49788971956653	0.09705849107723087	-5.129790439152323	2.900649101699226e-7	9.095895927281944e-5	het_vs_wt
Phf20l1	926.6435854910884	-0.36245621365035857	0.07073892374504594	-5.1238581881271905	2.993461602891026e-7	9.173599148496043e-5	het_vs_wt
Shprh	539.3480414289396	-0.4351651275897359	0.08503073201344988	-5.117739401807136	3.0921944075466585e-7	9.265588753635366e-5	het_vs_wt
