gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Fam46a	112.3033444089554	-0.7540121428437018	0.10934137274525976	-6.895945458818928	5.3507723281054036e-12	7.612008713962747e-8
Dok6	56.36177178223336	-0.8214544173720887	0.1270233150518279	-6.4669577946136885	9.999556320615481e-11	3.4902731417465766e-7
Prex2	675.628190546958	-0.6932510609397498	0.10622478402832049	-6.526264725141006	6.74301004495808e-11	3.4902731417465766e-7
Otud4	950.9248259543361	-0.42324141719213293	0.06597732262854664	-6.414952900938232	1.4086640538703692e-10	3.4902731417465766e-7
Tceal5	1156.2989348018884	0.3776306572942374	0.058928897711045966	6.408242338859363	1.4720679636215e-10	3.4902731417465766e-7
Xbp1	1446.333409189621	-0.30315720444022376	0.047188456963248034	-6.424393251009094	1.3239653112982201e-10	3.4902731417465766e-7
Zbed6	156.9931444046174	-0.7384573556974354	0.11862915047332588	-6.224923239785652	4.817918346560136e-10	8.610034806491485e-7
Dok3	207.97984536631927	-0.6209863056091592	0.09977052260357529	-6.224146064429918	4.841858459998023e-10	8.610034806491485e-7
Phf20l1	926.6435854910884	-0.3614922734420407	0.058523042668337584	-6.176922062830766	6.53633184220987e-10	1.0331761865253069e-6
Nr2e1	358.3469246534897	-0.45126046419231586	0.07366781239039115	-6.125612388229082	9.033547916383576e-10	1.2851125265847275e-6
Ptar1	14.36178288767615	-0.7357224104828968	0.12398601290339055	-5.933914586447497	2.95795755083106e-9	3.825445828920242e-6
Zfp369	45.898460077774885	-0.7635057971047821	0.12961239867597588	-5.890684879719772	3.845983247966755e-9	4.208689052736543e-6
Shkbp1	450.32936626236375	-0.3582728577760885	0.060746893770724196	-5.897797163560506	3.683864286155042e-9	4.208689052736543e-6
4933404O12Rik	332.83464004762305	0.4321595893697157	0.07353152126867185	5.87720180289317	4.172594243285283e-9	4.239951836069745e-6
Bdp1	438.0288203762292	-0.5666917554127888	0.09665250799692744	-5.863187279432044	4.540655907613365e-9	4.306358062780515e-6
Helz	348.99897435543045	-0.576454925914433	0.09886827374184924	-5.830534954211804	5.524996357835809e-9	4.912412386660763e-6
Trip11	282.36922021251814	-0.6069172070066804	0.1042848632996359	-5.8198015301881245	5.891754512548465e-9	4.930358805618498e-6
Tra2a	1211.414656827054	-0.3575037971057382	0.0615770562275198	-5.805795518785516	6.406110573530873e-9	5.062962723280567e-6
Oprl1	769.9226179589645	0.3314122902518744	0.05719052319807567	5.794881244643443	6.836954247228513e-9	5.119079532688043e-6
Amer2	357.0339494958626	-0.6805114600693577	0.11837638489546305	-5.748709598373951	8.992711884606871e-9	6.011027165763856e-6
Smg1	2250.794611619241	-0.4651722405489629	0.08085959623294034	-5.752839022456835	8.775704228082205e-9	6.011027165763856e-6
Zbtb40	471.1614754702909	-0.43085103595730817	0.07502063003945039	-5.743100740832763	9.295838439955352e-9	6.011027165763856e-6
Tm6sf2	53.77879178928828	-0.6990401742577285	0.12192393436189242	-5.733412212427874	9.843002237861527e-9	6.088110862426873e-6
Sbk1	2440.493730362812	-0.38840928250966855	0.06822334531801401	-5.693201948675348	1.2467877034177303e-8	7.390334112008596e-6
Cbl	206.3689538813722	-0.7406141166384822	0.13051497679641377	-5.6745527204417545	1.3905148954902186e-8	7.608255732016866e-6
Bicd2	2382.2401645691416	-0.24060482768669533	0.042381205752199	-5.677158622940104	1.369504686030113e-8	7.608255732016866e-6
Cfp	265.214977822729	-0.5100037967072222	0.09058890748999933	-5.629870265998347	1.8034522111993157e-8	9.16282541304338e-6
Snapc2	496.8946457021258	0.3263728192026422	0.057917442441398244	5.635138663674095	1.7491753546576212e-8	9.16282541304338e-6
Tmem181b-ps	2346.2320911582724	-0.5070178458587404	0.09100270854011312	-5.571458849878647	2.5261503578036176e-8	1.2392074134522161e-5
Nbeal1	92.46643425639111	-0.6952674640030034	0.1255644262072464	-5.537137268922423	3.0745557934301485e-8	1.4579543572445765e-5
Ppm1g	1676.611974915602	0.2250408539446649	0.04075826636382834	5.521354905918704	3.3639553232420966e-8	1.5437299493045826e-5
Kmt2c	1355.168425071553	-0.4417856179046629	0.08078022700860701	-5.468982129223174	4.526273780592753e-8	2.0122115875847656e-5
Klf4	249.40934017615552	-0.6750112692185573	0.123686920950539	-5.457418327104178	4.8310724492754925e-8	2.0826314140422168e-5
Ptprz1	2991.30446514784	-0.42552276439024317	0.07809181429194273	-5.449005996959495	5.065210567014437e-8	2.1193436919513937e-5
Chd9	1120.6291900049644	-0.44849218409941655	0.08248501485162191	-5.437256511454672	5.4107216018881144e-8	2.1308644917237567e-5
Nktr	3405.4079016627124	-0.3445794687480286	0.06339962830072206	-5.435039257857986	5.478436934929668e-8	2.1308644917237567e-5
Ptpn1	1362.5041502699223	-0.3179371611219914	0.05851986237765573	-5.432978619638506	5.542105032600801e-8	2.1308644917237567e-5
Bmp2k	232.74823721512152	-0.49420813534027686	0.09143741694632983	-5.4048785699005215	6.485231311085486e-8	2.3656128367051826e-5
Ptchd1	235.23728514895373	-0.3978678470690294	0.07361250212374001	-5.404895032643064	6.48463569963584e-8	2.3656128367051826e-5
Abca1	594.4713674031491	-0.5458424286388057	0.10118319972538445	-5.3945954478633364	6.867811194830869e-8	2.398276417968373e-5
Prmt8	1642.8801337391183	0.33131465426783824	0.06142913265818706	5.393445095690795	6.911945250717228e-8	2.398276417968373e-5
Marf1	1983.1460091606646	-0.3167719635266662	0.05881355253694363	-5.386036888822291	7.202818607292791e-8	2.439697559698744e-5
