gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison
Grn	784.2240666917279	-2.0161873166274344	0.08149208808890727	-24.740896495716107	3.885034343509955e-135	5.813176888193946e-131	ghko_vs_wt
Tnfrsf25	240.52001116358227	-0.9411607140581124	0.13612890408937006	-6.913746352062237	4.720188500040733e-12	2.4215338900983848e-8	ghko_vs_wt
Trib1	677.2744299722278	-0.8879105482840645	0.12850108771477256	-6.909751225257447	4.8550435542973696e-12	2.4215338900983848e-8	ghko_vs_wt
Hif3a	139.72162826354588	0.9323637910200842	0.13675434260382996	6.817800248735738	9.244505587212722e-12	3.458138427536599e-8	ghko_vs_wt
Ahsg	10.888235015041191	0.6139720414118968	0.09115286685681259	6.735630623404903	1.6322045435149353e-11	4.884535316922795e-8	ghko_vs_wt
Dusp6	1369.291868897537	-0.7327891901287106	0.11123316630694106	-6.587865961727854	4.4619317115526465e-11	1.1127314033327042e-7	ghko_vs_wt
Arhgap27os3	8.184649061642263	0.7625977441457095	0.11707371339165776	6.513825538227519	7.326058181218608e-11	1.2755067580549992e-7	ghko_vs_wt
Gc	9.836840763204968	0.6016957886368584	0.09247048329594199	6.506895683795603	7.671964727992375e-11	1.2755067580549992e-7	ghko_vs_wt
Tceal5	1156.2989348018884	0.4264828108614749	0.06545320181287391	6.5158433666967	7.22823714505892e-11	1.2755067580549992e-7	ghko_vs_wt
Adh1	11.00802797649471	0.7421395324828123	0.11675083369629541	6.356610132766537	2.0625458219043694e-10	3.086187313315508e-7	ghko_vs_wt
Fam46a	112.3033444089554	-0.7763767121043122	0.12331956125547308	-6.2956493211644124	3.061157174263656e-10	4.1640086180460983e-7	ghko_vs_wt
Apoa1	19.998370477711994	0.7091350588040816	0.11422268945623396	6.2083554693027665	5.354193267575995e-10	6.676232821894968e-7	ghko_vs_wt
Fgb	6.868651061554434	0.5303380055172704	0.08914254598541643	5.949325315478792	2.69250024122706e-9	3.0990677776523462e-6	ghko_vs_wt
Arl4d	524.6308524464372	-0.7595718144274541	0.12873417410978774	-5.900312171806627	3.628144434408311e-9	3.877708940860825e-6	ghko_vs_wt
Klf2	440.69841928958084	-0.7737215558162193	0.1347863059803342	-5.740357302537158	9.447700166988277e-9	9.424395839909706e-6	ghko_vs_wt
Dok6	56.36177178223336	-0.7704236718768329	0.13565920627041997	-5.6791108621193604	1.353967064381909e-8	1.2662130740216566e-5	ghko_vs_wt
Malat1	23570.08533320094	-0.6168774280689747	0.108836519959368	-5.667926797910058	1.4453568670785673e-8	1.2721691060056824e-5	ghko_vs_wt
Serpina1b	9.924798506906006	0.5030715972875334	0.08973454641156203	5.606219871889987	2.0679323435911652e-8	1.719026203175256e-5	ghko_vs_wt
Nr2e1	358.3469246534897	-0.48252064421728036	0.08651621762449946	-5.577227685929734	2.4438191695863462e-8	1.924571907080026e-5	ghko_vs_wt
Ier2	382.1651794317985	-0.7462380628628535	0.13424210831189254	-5.558897072214294	2.714847301613297e-8	2.031113008701988e-5	ghko_vs_wt
Pisd-ps1	8043.371619244894	-0.5938355794799082	0.10726619918325425	-5.536092301223387	3.0929461251461215e-8	2.1966756278727868e-5	ghko_vs_wt
4933404O12Rik	332.83464004762305	0.46770831075246166	0.0845994567339431	5.528502531917645	3.229757656432621e-8	2.1966756278727868e-5	ghko_vs_wt
Gem	51.76371253518485	-0.7435904432178186	0.135782203924301	-5.476346838738696	4.3419624859242835e-8	2.7070326948702107e-5	ghko_vs_wt
Apoa2	26.804404187777383	0.7172055528047926	0.13084796499750898	5.481212893287614	4.2241979628130436e-8	2.7070326948702107e-5	ghko_vs_wt
Itih4	7.8316843063252755	0.5599929680963542	0.10421840868973602	5.373263467910783	7.732421693767071e-8	4.628009032153467e-5	ghko_vs_wt
S1pr1	2972.7479459927063	-0.43047666329377177	0.08024784797500438	-5.364339034086705	8.124617482923699e-8	4.675717361422589e-5	ghko_vs_wt
Xbp1	1446.333409189621	-0.30603992360019944	0.05770565671501898	-5.303464877136504	1.1362507391566584e-7	6.296933262963363e-5	ghko_vs_wt
Mat1a	11.519125403705031	0.48770991462722846	0.09244765726840003	5.275524864965236	1.3237666008090073e-7	7.074114159966134e-5	ghko_vs_wt
Adamts1	370.1130927496441	-0.6764568494032879	0.1290719906338568	-5.240926757860406	1.5977212675724443e-7	8.128124012216451e-5	ghko_vs_wt
Csrnp1	309.5168386534509	-0.6591756989865403	0.12586233350063425	-5.237275367878179	1.6296445924379707e-7	8.128124012216451e-5	ghko_vs_wt
Pisd-ps2	1360.939515415173	-0.5700039744468126	0.10948020129439046	-5.20645712839056	1.924801378482363e-7	9.290581621365032e-5	ghko_vs_wt
Prex2	675.628190546958	-0.6147909125979424	0.11862513243110684	-5.1826362592681665	2.1877143061186914e-7	1.0229615363266869e-4	ghko_vs_wt
Dok3	207.97984536631927	-0.5959021689438356	0.11516868558638901	-5.174168359304963	2.2892833425041083e-7	1.0380165652693628e-4	ghko_vs_wt
Arc	9513.94360506741	-0.6647014230166004	0.12882064535892623	-5.159898253611272	2.4708408728027e-7	1.0873879994043175e-4	ghko_vs_wt
Zbed6	156.9931444046174	-0.6107518115705862	0.11872535837418761	-5.1442406233525535	2.686050770058343e-7	1.1164271575661942e-4	ghko_vs_wt
Fkbp5	624.8529365497076	0.57704997420257	0.11211984505191704	5.146724684959806	2.6507392258583834e-7	1.1164271575661942e-4	ghko_vs_wt
Ptar1	14.36178288767615	-0.6359769684243965	0.12390850078340794	-5.132633874217269	2.8571536408662544e-7	1.1554483764400477e-4	ghko_vs_wt
Nr4a1	4125.705363000224	-0.7055316731184317	0.137627959735484	-5.12636875874959	2.95383792195141e-7	1.1631125480568144e-4	ghko_vs_wt
Klf4	249.40934017615552	-0.6875688452621354	0.1345692983218815	-5.109403510580199	3.231774842143223e-7	1.2089261740747261e-4	ghko_vs_wt
Grid1	1284.5410199912058	0.3273707538813976	0.06402590465658964	5.113098450342695	3.1691701925538075e-7	1.2089261740747261e-4	ghko_vs_wt
Otud4	950.9248259543361	-0.3992166959302544	0.0785373998276954	-5.083141239792799	3.712434326759333e-7	1.3548574349097535e-4	ghko_vs_wt
Tiparp	218.08522865361766	-0.6731657911162628	0.134802915982176	-4.993703483426653	5.923231558022361e-7	2.110221757206871e-4	ghko_vs_wt
Map2k3	341.0096400454107	-0.5337525660152381	0.10765786203561376	-4.957859611206752	7.127403424834693e-7	2.3708764109879168e-4	ghko_vs_wt
Cfp	265.214977822729	-0.5223144926938195	0.10535243320440045	-4.9577829083496	7.130217101814894e-7	2.3708764109879168e-4	ghko_vs_wt
Sbk1	2440.493730362812	-0.39968245468161206	0.08051244448233029	-4.964232017192431	6.897344937886682e-7	2.3708764109879168e-4	ghko_vs_wt
Phf20l1	926.6435854910884	-0.3491369916633836	0.0706888221734019	-4.93906930302134	7.849631349722469e-7	2.553348562736898e-4	ghko_vs_wt
Cyr61	285.78753852054166	-0.6487918411425022	0.13164742743555644	-4.928253090703929	8.296809838884423e-7	2.6413865025367574e-4	ghko_vs_wt
Stk40	984.1836291275106	-0.48455897402015125	0.09864062875583354	-4.912367045222172	8.998339959197107e-7	2.805045016863882e-4	ghko_vs_wt
Snapc2	496.8946457021258	0.33845758781938884	0.06923952724217433	4.8882134425266806	1.017551749264416e-6	3.107270780457848e-4	ghko_vs_wt
Pdia4	672.1078069349599	-0.41453005540619486	0.08493810250485744	-4.880378101011719	1.0588264418453882e-6	3.168644009866509e-4	ghko_vs_wt
Sik1	461.3226845929712	-0.6597458739082154	0.13554557588965963	-4.86733609398863	1.1311257398341737e-6	3.318634204929165e-4	ghko_vs_wt
Chst8	343.5376532517232	0.5029219755378016	0.10361055698128334	4.853964597725805	1.2101734947759756e-6	3.4165709438364005e-4	ghko_vs_wt
Adam11	5965.160071881552	0.4123508258298211	0.08494997210867225	4.854043098475904	1.2096942791222871e-6	3.4165709438364005e-4	ghko_vs_wt
Zfp369	45.898460077774885	-0.6554362370891956	0.13615442160802818	-4.813918118473713	1.4799946820950267e-6	4.1009556348496086e-4	ghko_vs_wt
Prmt8	1642.8801337391183	0.3476091199738726	0.07268577937629088	4.782353893109083	1.7325431014881208e-6	4.7134622595575913e-4	ghko_vs_wt
AU023762	31.315231858582617	0.649248757846285	0.13598322423598813	4.774476862819234	1.8017499520489915e-6	4.814211523662332e-4	ghko_vs_wt
Gbp3	82.26016400965864	-0.552240441743627	0.11665626353710787	-4.733911622053295	2.2023365240141666e-6	5.781326562951574e-4	ghko_vs_wt
Fam19a1	413.87861581555615	0.6106707978634426	0.12924816256847502	4.724792876958017	2.3035001310275068e-6	5.84191058653637e-4	ghko_vs_wt
Spry4	310.9584231263575	-0.5403416164613359	0.11435489947266417	-4.725128691057975	2.299696734257681e-6	5.84191058653637e-4	ghko_vs_wt
Dusp1	1170.402889459968	-0.6505954735400581	0.1378516121528551	-4.719534747396738	2.363846668611089e-6	5.895039617071288e-4	ghko_vs_wt
Car8	167.24687776240214	-0.5987287578747048	0.12780770002014608	-4.684606309168606	2.804985523207372e-6	6.790917425206303e-4	ghko_vs_wt
Apoc3	7.512641083044821	0.49245492397657253	0.10513645593567542	4.683959713059629	2.813853374074656e-6	6.790917425206303e-4	ghko_vs_wt
Hpx	16.588661234448303	0.5699667571553598	0.12191238689089653	4.675216126031903	2.9364420615190486e-6	6.934120202125564e-4	ghko_vs_wt
Zbtb40	471.1614754702909	-0.41669190376670906	0.08916687902505889	-4.673169099589149	2.965873774884957e-6	6.934120202125564e-4	ghko_vs_wt
Cbl	206.3689538813722	-0.6414222212108033	0.13744354323714128	-4.666805046666406	3.059193370668623e-6	7.042263139279169e-4	ghko_vs_wt
Hnrnpd	2595.583499925044	0.1819376261394382	0.03906708309500528	4.657056829581907	3.2076192444666164e-6	7.272061629538482e-4	ghko_vs_wt
Tox2	430.9458401735181	0.43189221428740787	0.0930292322887799	4.642543033642745	3.4414693008498794e-6	7.685776887853246e-4	ghko_vs_wt
Helz	348.99897435543045	-0.52422116486379855	0.11308795829972479	-4.6355171031951885	3.560462825711726e-6	7.748140266036833e-4	ghko_vs_wt
Bdp1	438.0288203762292	-0.5120471650210338	0.11047898488872471	-4.634792449774694	3.5729578183288207e-6	7.748140266036833e-4	ghko_vs_wt
Oprl1	769.9226179589645	0.3187956297825816	0.06884414441579968	4.630686204147498	3.6445585923050127e-6	7.790504316665701e-4	ghko_vs_wt
Per1	3712.710024159984	-0.593863008354665	0.12849970101887626	-4.621512763422135	3.809518910693901e-6	8.028426966297583e-4	ghko_vs_wt
Amer2	357.0339494958626	-0.5952300349851115	0.13022145774018998	-4.570905942188719	4.85620226258907e-6	0.0010092132563211146	ghko_vs_wt
Tmem181b-ps	2346.2320911582724	-0.4786231701605043	0.10484672490551493	-4.564979693851446	4.9954269155032375e-6	0.00102392565666678	ghko_vs_wt
Hipk2	324.9313205160768	-0.6109841233737501	0.13474965469664965	-4.534216616355762	5.781766949988903e-6	0.0010952375640421712	ghko_vs_wt
